Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11, 1,    6350.85,    0.0,         1, 2,    6350.85, -120.0,         1, 3,    6350.85,  120.0,         1
"1", 11, 1,    4970.48,   -3.4,   0.78265, 2,    5485.23, -109.0,    0.8637, 3,     6335.1,  120.1,   0.99752
"2", 4, 1,    1274.91,  -42.0,   0.55205, 2,    1038.66,  -82.0,   0.44975, 3,    2175.52,  120.2,   0.94203
"3", 4, 1,    1087.98,  -59.8,   0.47111, 2,    1087.55,  -59.9,   0.47092, 3,    2175.52,  120.2,   0.94203
